ISBN,書名,作者,出版社,出版日期,封面圖片
9789575708412,黃色水桶,森山京,陳珊珊,台灣東方出版社股份有限公司,
9789865941062,狒狒的面具店,王文華,小螢火蟲,2012-06-01,
9789866215124,自由，是什麼呢？,奧斯卡．柏尼菲,陳妍如,米奇巴克有限公司,
9789864492039,少年偵探法律事件簿（2）：一罪不二審,維姬．葛朗特,柯清心,幼獅文化事業股份有限公司,
9789864491438,皇上有令：30位帝王點點名,2019-04-01,Not Found,Not Found,
9789863448990,銅山國王（國際安徒生大獎提名作家．荷蘭金筆獎代表作）,保羅．比格爾,賴雅靜,小麥田,
9789577627438,1度C究竟有多熱？關於溫室效應帶來的氣候危機,克莉絲汀．沙瑪赫—史萊柏,賴雅靜,上誼文化,
9789864174980,神奇樹屋（1）：恐龍谷大冒險,瑪麗．波．奧斯本,周思芸,小天下,
9789865505523,戰火下的小花 【圖像小說∥臺灣獨家封面版】,原作者：黛博拉．艾里斯、改編者：諾拉．托美,李靜宜,字畝文化,
9786263051911,字的傳奇3：搶救倉頡爺爺,林世仁,親子天下（親子教養童書）,2022-05-31,
9789579529938,救命英雄：12位緊急救援工作者的一天,水滴文化,2022-01-04,Not Found,
9789864403035,學校沒有教的公民課－與世界接軌．認識權力,2020-01-01,Not Found,Not Found,
9789570855043,聯合國都在做什麼？,康昌勳,蕭素菁,聯經出版事業股份有限公司,
9789570855050,不可不知的國際條約：了解後就能秒懂國際新聞,金香錦,蕭素菁,聯經出版事業股份有限公司,
